Affair,Age,Happiness
Faithful,37,3.860241138
Faithful,27,4.448020834
Faithful,32,5.874196278
Faithful,57,3.881316281
Faithful,22,2.621419834
Faithful,32,5.028815031
Faithful,22,2.252231588
Faithful,57,4.891197917
Faithful,32,1.003960611
Faithful,22,5.504642536
Faithful,37,2.989631041
Faithful,27,1.88088192
Faithful,47,3.28117891
Faithful,22,3.939254969
Faithful,27,4.829671308
Faithful,37,5.848819726
Faithful,37,2.583811158
Faithful,22,3.838365087
Faithful,22,5.243570441
Faithful,27,6.411906037
Faithful,22,4.935348853
Faithful,22,4.393778441
Faithful,27,4.620287771
Faithful,32,4.893478964
Faithful,37,3.192448786
Faithful,22,6.609052139
Faithful,27,4.36449563
Faithful,42,3.407224771
Faithful,27,5.739678346
Faithful,27,4.042621371
Faithful,42,2.691492082
Faithful,22,4.397912284
Faithful,27,3.940278517
Faithful,42,3.446370855
Faithful,32,4.094249896
Faithful,22,2.351384101
Faithful,42,4.921947592
Faithful,22,5.118542986
Faithful,22,4.441378908
Faithful,22,4.480834494
Faithful,32,5.172926239
Faithful,52,2.928801618
Faithful,22,4.074620458
Faithful,27,1.604878834
Faithful,32,2.987506535
Faithful,22,4.221025377
Faithful,27,3.930918725
Faithful,42,3.258434077
Faithful,27,5.363501973
Faithful,42,3.359100296
Faithful,22,4.971552974
Faithful,32,3.719032803
Faithful,27,6.58689494
Faithful,27,4.554076446
Faithful,22,5.57351378
Faithful,37,0.791825815
Faithful,22,3.467062004
Faithful,37,4.879275931
Faithful,27,3.656346781
Faithful,32,3.746068471
Faithful,47,1.895770336
Faithful,37,3.959875718
Faithful,22,4.27364792
Faithful,27,5.631099351
Faithful,32,4.407367293
Faithful,42,4.688031904
Faithful,37,4.783686355
Faithful,47,5.24694171
Faithful,22,5.664740532
Faithful,27,4.349261088
Faithful,27,5.593937253
Faithful,32,5.920660125
Faithful,22,4.401243156
Faithful,47,3.81918924
Faithful,32,5.685632314
Faithful,27,3.679997136
Faithful,22,4.186358233
Faithful,27,4.195630349
Faithful,22,5.864487478
Faithful,57,1.008846971
Faithful,17.5,5.768810779
Faithful,57,4.253045034
Faithful,22,4.848234828
Faithful,42,2.600153189
Faithful,22,6.063467561
Faithful,22,4.939284979
Faithful,32,5.2782252
Faithful,27,1.961661143
Faithful,22,4.823293865
Faithful,37,3.184554395
Faithful,32,3.593815206
Faithful,37,3.503117138
Faithful,37,3.409394603
Faithful,57,3.096734906
Faithful,27,2.921240633
Faithful,42,5.511107402
Faithful,57,0.499696962
